,Date,XCEM,INCO,INXX,SCIN,AFTY,CNHX,YANG,YINN,CHAD,CHAU,EDZ,EDC,INDL,EMQQ,FCA,FEM,FEMS,NFTY,FNI,ASEA,CHIC,CHIQ,CHIE,CHIX,CHII,CHIM,ADRE,YAO,HAO,CQQQ,PIE,PGJ,PIN,FXI,AXJV,EEMV,EMGF,INDY,AAXJ,MCHI,ECNS,EEMA,EEM,INDA,SMIN,EIDO,EWM,EPHE,THD,AIA,KBA,KFYP,KWEB,KALL,YXI,XPP,EET,FXP,EUM,XINA,SPEM,GXC,GMF,EDIV,EWX,EEV,PEK,CNXT,SCIF,IDX,VNM,VWO,CXSE,DGRE,DEM,DGS,EPI,ASHX,ASHR,ASHS,CN,DBEM
0,2015-12-31,17.546646,32.024254,10.041132000000001,15.324635,13.175529999999998,29.900548999999998,2462.23584,17.392210000000002,41.80806,23.048433,1165.619507,45.738914,53.604778,23.384961999999998,19.183472000000002,16.564651,24.742248999999997,,27.055059000000004,11.263208,,11.587956,9.204385,12.560822,11.848588000000001,11.189198,27.577227,23.311998000000003,21.392746,34.759254,14.074128,31.510399,18.886253,33.375069,31.872356,45.115864,31.337992,26.827153999999997,50.382637,42.550297,39.021767,47.647545,30.306709,26.689111999999998,31.750301,19.935710999999998,26.899258000000003,33.24305,54.35228299999999,40.187283,31.673948,20.774281,36.490108,,29.057340999999997,47.636398,44.903774,167.504974,29.203046999999998,25.378723,24.771421,69.307869,69.01508299999999,21.182356,34.830025,118.79211399999998,39.558693,41.212253999999994,42.591656,17.467653,14.161810000000001,30.305769,47.408096,17.937878,28.13393,31.635876,19.244785,20.627932,27.201328000000004,41.459998999999996,27.023926,17.220577
1,2016-01-04,16.232405,31.565478999999996,9.879485,15.109759,12.157043,29.900548999999998,2704.211182,15.696126999999999,45.468994,19.092026,1255.9313960000002,42.082977,49.824188,22.332735,18.3978,16.131411,24.056486,,26.015214999999998,10.984645,21.88,11.140066000000001,9.204385,12.056187,11.239767,11.179903999999999,26.723446000000003,22.340277,20.56995,33.475449,13.763460999999998,30.054598,18.518593,32.296932,31.872356,44.058903,31.337992,26.314093,48.91106,41.072193,38.102058,46.191646999999996,29.478195,26.126213,31.798004,19.630032999999997,26.03042,32.888344000000004,53.490280000000006,39.046409999999995,28.829196999999997,17.835079,34.846317,,30.064822999999997,44.53289,42.547775,178.687958,29.986158000000003,22.727648000000002,24.119789,66.723801,66.820862,20.548315,34.165015999999994,125.267159,36.04974,36.221668,42.256985,17.164034,14.334164000000001,29.444128000000003,47.408096,17.658089,27.306986,30.88693,18.895937,18.760775,24.887564,37.349998,25.167719,16.834336999999998
2,2016-01-05,16.232405,31.904571999999998,10.088675,15.578582,12.444071000000001,27.508121000000003,2742.470215,15.451027999999999,44.496712,19.667866,1249.232544,42.321404,51.774174,22.594316,18.538097,16.18672,24.239357000000002,,26.110613,11.114641,22.02,11.244893,8.99478,12.102062,11.427097,11.300718,26.818306,22.340277,20.676119,33.745723999999996,13.782288000000001,30.188685999999997,18.741123,32.117241,31.872356,44.197975,31.337992,26.452222999999996,49.005394,41.03405,38.198406,46.409081,29.544097999999998,26.378546000000004,32.160534000000006,20.098101,26.238945,33.0854,53.36979300000001,39.05592,29.401784999999997,17.835079,35.249905,,30.154597999999996,44.050121000000004,42.577723999999996,180.48521399999998,29.906853,22.590256,24.17687,66.846413,67.074028,20.557243,34.257381,124.619652,36.534359,36.561028,43.260994000000004,17.553045,14.362889000000001,29.508979999999998,47.408096,17.598799,27.413689,30.90498,19.1285,19.255548,25.237545,37.5,25.465759,16.834336999999998
3,2016-01-06,16.232405,31.336094,9.888993,15.324635,12.351482,27.914816,2920.349365,14.451023000000001,45.766632,19.370017999999998,1322.424927,39.817886,49.625206,22.342567000000003,18.313622,15.956270000000002,23.709035999999998,,25.662235,10.826792999999999,21.83,11.101948,8.99478,11.826808,11.221034,11.300718,26.372444,22.106688000000002,20.410698,33.359623,13.518691,29.930090000000003,18.460537,31.417395000000003,31.872356,43.678764,30.187374,26.087164,48.052634999999995,40.34745,37.926876,45.529872999999995,28.979204,25.990341,31.607198999999998,20.021681,25.648132,32.573067,52.804398,38.228786,29.401784999999997,17.835079,35.135952,,30.783028,42.168312,41.120197,188.313309,30.501623,22.590256,23.791597,65.648674,66.098824,20.244688,33.657021,129.550644,36.722815999999995,36.351421,42.867268,17.458164,14.046906,28.980877000000003,47.408096,17.213394,26.880177000000003,30.471860999999997,18.866867000000003,19.466434,25.033388000000002,37.57,25.211292,16.608248
4,2016-01-07,16.232405,30.308844,9.546683,14.5921,11.684834,27.914816,3258.96582,12.774549,47.135760999999995,17.036879000000003,1445.487305,36.161953000000004,45.446659000000004,21.458504,17.677601,15.495375,23.169567,,24.698713,10.650372,21.17,10.60641,8.99478,11.432275,10.509183,11.300718,25.433281,21.144308,19.508274,31.882761,13.123298000000002,28.531757,17.899368,30.216307,30.150654,42.677422,30.187374,25.258369000000002,46.713127,38.697697,37.401333,44.414314000000005,28.084784000000003,25.165407000000002,30.758104,19.391222,25.543871,31.568084999999996,50.987709,37.392139,27.402278999999997,17.173185,33.274696,,32.029911,38.867756,38.31496,202.891098,31.453246999999998,21.566595,23.002032999999997,62.866566000000006,63.932731999999994,19.610649,32.724159,137.66935700000002,34.353603,33.317146,41.233288,16.898363,13.730923,28.045115000000003,44.092236,16.81502,25.982094,29.623669,18.207932,18.120007,23.458471,34.82,23.87796,16.118385
5,2016-01-08,16.232405,30.169218,9.546683,14.748375,11.805202,26.444611,3354.115967,12.401999,47.016708,17.165947,1489.154541,35.009541,44.690540000000006,21.339514,17.247355,15.347882,23.023272,,24.593773000000002,10.678225999999999,21.02,10.349113000000001,8.630249000000001,11.221245,10.378052,11.300718,25.148687,20.929409,19.2694,31.689707000000002,13.010328999999999,28.474289000000002,17.870344,29.904215,30.150654,42.260201,30.187374,25.209035999999998,46.326366,38.125526,36.175056,44.036159999999995,27.783508,25.058649,30.662701000000002,19.23839,25.300598,30.868541999999998,51.321391999999996,37.021358,27.474989,17.173185,33.203472,,32.389010999999996,38.079563,37.446434,207.04478500000002,31.770453999999997,21.721401,22.797507999999997,62.04606999999999,63.482628000000005,19.521347,32.677979,140.358978,34.551037,33.127502,41.705760999999995,16.784508,13.376636999999999,27.794961999999998,43.115849,16.694584,25.742016,29.389059000000003,18.256386,18.168673000000002,23.584856,34.450001,23.712383,16.024181
6,2016-01-11,16.232405,30.229057,9.651278,14.943719,11.638539,25.270355,3420.696777,12.166703,48.10804,16.40147,1491.635742,34.969799,46.441551000000004,20.651142,17.078993,15.237271,22.794691,,24.345737,10.585371,20.37,10.291936,8.192813000000001,11.120319,10.35932,10.380676,25.053822,20.649105,19.092453,31.004365999999997,12.972672,27.717657,18.121901,29.743439000000002,30.150654,42.102581,30.187374,25.505036999999998,46.354668,37.963409000000006,35.316666,44.036159999999995,27.774094,25.320686,30.92029,19.286151999999998,25.265842000000003,30.228116999999997,51.571644,37.059391,26.911495000000002,17.173185,32.358315000000005,,32.468810999999995,37.66576,37.646095,209.441132,31.790281,20.831260999999998,22.721403,61.583946,63.360732999999996,19.440977,32.465538,140.508408,33.671558000000005,31.800009000000003,42.040432,16.850925,13.434089000000002,27.674513,42.361801,16.481501,25.706446,29.280775,18.479254,17.706345000000002,23.011274,32.779999,23.250511,16.024181
7,2016-01-12,15.414729999999999,30.258978000000003,9.584717,14.943719,11.721871,25.270355,3432.8701170000004,12.088271,47.135760999999995,17.066664000000003,1483.44812,35.168490999999996,46.242577000000004,21.133001,17.219294,15.311013,22.977556,,24.631933,10.696798,20.38,10.434878,8.347738,11.120319,10.246921,10.380676,25.053822,20.71451,19.260551,31.15881,13.019743,28.254005,18.102551000000002,29.69615,30.150654,42.362183,30.187374,25.435968,46.467861,38.068306,35.167763,43.988892,27.830582,25.204226000000002,30.815346,19.792423,25.578629,30.356201000000002,52.822933,36.992832,27.184155,16.376947,32.885353,,32.538635,37.527828,37.765896000000005,210.080154,31.710979,20.831260999999998,22.773726,61.932896,63.557648,19.557066,32.391651,139.910706,34.317707,32.528633,41.735294,17.258915,13.453239000000002,27.776426,42.361801,16.916926999999998,25.813148,29.316875,18.343594,17.955353,23.516804,33.259997999999996,23.455303,16.071281
8,2016-01-13,15.414729999999999,29.929859000000004,9.356508999999999,14.142812,11.397807,25.270355,3619.196045,11.441212,49.437484999999995,15.438431,1529.844604,33.976341,44.332386,20.778982,16.461679,15.117435,22.703255,,24.15494,10.557517,19.99,10.139462,8.056115,10.890939,10.115791,10.018234,24.759737,20.378142999999998,18.685478,30.512083,12.869117999999999,27.420752,17.889694,29.147623,29.819504,41.954235,30.187374,25.169573,45.930168,37.248199,34.554626,43.695824,27.538717,24.981007,29.823149,19.582272,25.300598,30.149297999999998,53.341988,36.555504,25.939009,16.376947,31.983213,,33.196991,36.138638,36.897366,217.82836899999998,32.01828,20.831260999999998,22.478827,60.527687,62.694965,19.414185999999997,31.883653999999996,143.04863,33.195919,30.5324,40.120998,17.145056,13.031928,27.46142,41.201736,16.59638,25.590853,29.01008,18.140099,17.01042,22.311312,30.959999,23.455303,15.958238
9,2016-01-14,15.441051000000002,30.089434000000004,9.280439999999999,14.103743,11.786683,25.270355,3466.656982,11.921603999999999,47.403628999999995,16.748959,1470.29834,35.367184,45.446659000000004,21.103498000000002,16.648746,15.301794000000001,23.004988,,24.717791000000002,10.696798,20.45,10.253817,8.074341,11.037742,10.78081,10.55725,25.556607999999997,20.368799,18.906660000000002,31.129853999999998,12.972672,28.234852000000004,18.083202,29.563745,29.845188,42.390003,30.187374,25.327436,46.458434999999994,37.734543,35.868488,44.083431,27.896482000000002,25.184818,29.813608000000002,19.840187,25.648132,30.375906,53.851772,36.897766,26.947846999999996,16.376947,32.809383000000004,,32.708214,37.192844,38.08535,211.43807999999999,31.621765000000003,20.831260999999998,22.730917,61.480217,63.642047999999996,19.655298000000002,32.225398999999996,139.163589,34.12027,32.368935,39.865078000000004,17.325332999999997,13.031928,27.813492,41.868774,16.638994,26.044338,29.361990000000002,18.22731,17.438681,23.283484,32.720001,23.442232,16.099545000000003
