As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"May 27, 2015",405.00,52.19,--,"8,343,750.00"
"May 26, 2015",407.50,52.52,--,"8,343,750.00"
"May 22, 2015",418.08,53.88,--,"8,343,750.00"
"May 21, 2015",418.01,53.87,--,"8,343,750.00"
"May 20, 2015",419.57,54.07,--,"8,343,750.00"
"May 19, 2015",422.39,54.44,--,"8,343,750.00"
"May 18, 2015",428.24,55.19,--,"8,343,750.00"
"May 15, 2015",425.83,54.89,--,"8,343,750.00"
"May 14, 2015",422.44,54.46,--,"8,343,750.00"
"May 13, 2015",419.59,54.09,--,"8,343,750.00"
"May 12, 2015",415.97,53.62,--,"8,343,750.00"
"May 11, 2015",419.50,54.07,--,"8,343,750.00"
"May 08, 2015",420.51,54.21,--,"8,343,750.00"
"May 07, 2015",420.52,54.21,--,"8,343,750.00"
"May 06, 2015",427.00,55.04,--,"8,343,750.00"
"May 05, 2015",423.74,54.62,--,"8,343,750.00"
"May 04, 2015",427.10,55.05,--,"8,343,750.00"
"May 01, 2015",427.10,55.05,--,"8,343,750.00"
"Apr 30, 2015",427.10,55.05,--,"8,343,750.00"
"Apr 29, 2015",432.98,55.81,--,"8,343,750.00"
"Apr 28, 2015",436.06,56.21,--,"8,343,750.00"
"Apr 27, 2015",435.88,56.19,--,"8,343,750.00"
"Apr 24, 2015",434.97,56.08,--,"8,343,750.00"
"Apr 23, 2015",425.63,54.87,--,"8,343,750.00"
"Apr 22, 2015",428.14,55.20,--,"8,343,750.00"
"Apr 21, 2015",427.06,55.06,--,"8,343,750.00"
"Apr 20, 2015",425.66,54.88,--,"8,343,750.00"
"Apr 17, 2015",424.49,54.73,--,"8,343,750.00"
"Apr 16, 2015",421.61,54.37,--,"8,343,750.00"
"Apr 15, 2015",413.50,53.33,--,"8,343,750.00"
"Apr 14, 2015",413.71,53.37,--,"8,343,750.00"
"Apr 13, 2015",413.40,53.32,--,"8,343,750.00"
"Apr 10, 2015",418.77,54.02,--,"8,343,750.00"
"Apr 09, 2015",423.79,54.67,--,"8,343,750.00"
"Apr 08, 2015",424.07,54.70,--,"8,343,750.00"
"Apr 07, 2015",424.05,54.71,--,"8,250,000.00"
"Apr 06, 2015",421.69,54.40,--,"8,118,750.00"
"Apr 02, 2015",415.53,53.61,--,"8,118,750.00"
"Apr 01, 2015",410.85,53.00,--,"8,118,750.00"
"Mar 31, 2015",411.62,53.10,--,"8,118,750.00"
"Mar 30, 2015",408.55,52.71,--,"8,006,250.00"
"Mar 27, 2015",409.95,52.89,--,"8,006,250.00"
"Mar 26, 2015",413.48,53.35,--,"8,006,250.00"
"Mar 25, 2015",412.94,53.28,--,"8,006,250.00"
"Mar 24, 2015",413.94,53.40,--,"8,006,250.00"
"Mar 23, 2015",404.70,52.21,--,"8,006,250.00"
"Mar 20, 2015",402.89,51.98,--,"8,006,250.00"
"Mar 19, 2015",406.38,52.44,--,"8,006,250.00"
"Mar 18, 2015",403.78,52.09,--,"8,006,250.00"
"Mar 17, 2015",402.99,51.99,--,"8,006,250.00"
"Mar 16, 2015",400.50,51.67,--,"8,006,250.00"
"Mar 13, 2015",403.07,52.00,--,"8,006,250.00"
"Mar 12, 2015",403.73,52.09,--,"8,006,250.00"
"Mar 11, 2015",401.00,51.74,--,"8,006,250.00"
"Mar 10, 2015",402.93,51.98,--,"8,006,250.00"
"Mar 09, 2015",406.18,52.41,--,"8,006,250.00"
"Mar 06, 2015",412.44,53.22,--,"8,118,750.00"
"Mar 05, 2015",412.48,53.23,--,"8,193,750.00"
"Mar 04, 2015",416.93,53.80,--,"8,193,750.00"
"Mar 03, 2015",418.34,53.98,--,"8,193,750.00"
"Mar 02, 2015",417.05,53.82,--,"8,193,750.00"
"Feb 27, 2015",421.48,54.38,--,"8,043,750.00"
"Feb 26, 2015",423.49,54.65,--,"8,043,750.00"
"Feb 25, 2015",419.88,54.18,--,"8,043,750.00"
"Feb 24, 2015",416.01,53.69,--,"7,950,000.00"
"Feb 23, 2015",414.14,53.46,--,"7,950,000.00"
"Feb 20, 2015",415.29,53.62,--,"7,950,000.00"
"Feb 19, 2015",415.29,53.62,--,"7,950,000.00"
"Feb 18, 2015",415.29,53.62,--,"7,950,000.00"
"Feb 17, 2015",419.31,54.14,--,"7,950,000.00"
"Feb 13, 2015",418.22,53.99,--,"7,950,000.00"
"Feb 12, 2015",412.59,53.27,--,"7,950,000.00"
"Feb 11, 2015",415.40,53.64,--,"8,100,000.00"
"Feb 10, 2015",420.29,54.28,--,"8,212,500.00"
"Feb 09, 2015",422.64,54.59,--,"8,325,000.00"
"Feb 06, 2015",424.59,54.85,--,"8,625,000.00"
"Feb 05, 2015",418.95,54.13,--,"8,775,000.00"
"Feb 04, 2015",420.08,54.28,--,"8,887,500.00"
"Feb 03, 2015",407.56,52.66,--,"8,887,500.00"
"Feb 02, 2015",407.56,52.66,--,"8,887,500.00"
"Jan 30, 2015",407.56,52.66,--,"8,887,500.00"
"Jan 29, 2015",407.78,52.69,--,"8,887,500.00"
"Jan 28, 2015",412.39,53.28,--,"8,887,500.00"
"Jan 27, 2015",416.31,53.77,--,"8,887,500.00"
"Jan 26, 2015",412.84,53.32,--,"8,887,500.00"
"Jan 23, 2015",416.24,53.76,--,"8,887,500.00"
"Jan 22, 2015",411.58,53.16,--,"8,887,500.00"
"Jan 21, 2015",407.36,52.61,--,"8,887,500.00"
"Jan 20, 2015",403.80,52.15,--,"8,887,500.00"
"Jan 16, 2015",407.47,52.64,--,"9,075,000.00"
"Jan 15, 2015",407.67,52.66,--,"9,075,000.00"
"Jan 14, 2015",402.96,52.06,--,"9,075,000.00"
"Jan 13, 2015",404.54,52.27,--,"9,075,000.00"
"Jan 12, 2015",403.93,52.19,--,"9,075,000.00"
"Jan 09, 2015",403.77,52.18,--,"9,075,000.00"
"Jan 08, 2015",401.98,51.94,--,"9,075,000.00"
"Jan 07, 2015",396.31,51.20,--,"9,187,500.00"
"Jan 06, 2015",400.88,51.78,--,"9,225,000.00"
"Jan 05, 2015",408.62,52.77,--,"9,693,750.00"
"Jan 02, 2015",414.58,53.53,--,"9,806,250.00"
"Dec 31, 2014",418.33,54.02,--,"9,806,250.00"
"Dec 30, 2014",419.57,54.17,--,"9,806,250.00"
"Dec 29, 2014",420.19,54.25,--,"9,806,250.00"
"Dec 26, 2014",420.33,54.27,--,"9,806,250.00"
"Dec 24, 2014",416.49,53.78,--,"9,993,750.00"
"Dec 23, 2014",416.40,53.78,--,"10,087,500.00"
"Dec 22, 2014",416.45,53.78,--,"10,087,500.00"
